Invoice date,Total Paid Amount
24/8/2022,126020
25/8/2022,206472
26/8/2022,262804
27/8/2022,121220
31/8/2022,360582
30/9/2022,138514
12/10/2022,153927
28/10/2022,127500
29/10/2022,111045
15/11/2022,129467
25/11/2022,100845
14/12/2022,284980
15/12/2022,176680
16/12/2022,181835
21/12/2022,118529
29/12/2022,130740
31/12/2022,103480
4/1/2023,139910
11/1/2023,136231
6/2/2023,112080
16/3/2023,101910
18/3/2023,112650
28/3/2023,152520
17/4/2023,102050
24/4/2023,122811
29/4/2023,105760
24/5/2023,109150
31/5/2023,106140
5/6/2023,103190
12/6/2023,123250
23/6/2023,103579
24/6/2023,119590
27/6/2023,163833
4/7/2023,135025
8/7/2023,111469
13/7/2023,163091
22/7/2023,126750
26/8/2023,123075
29/8/2023,122940
30/8/2023,125430
5/9/2023,222034
6/9/2023,157620
7/9/2023,158612
28/9/2023,183286
29/9/2023,161612
3/10/2023,109442
5/10/2023,114163
13/10/2023,103925
21/10/2023,110170
24/10/2023,103350
2/12/2023,155608
12/12/2023,135168
15/12/2023,164830
21/12/2023,111345
27/12/2023,110630
2/1/2024,105410
10/1/2024,124220
16/1/2024,137900
20/1/2024,106590
27/1/2024,100150
17/2/2024,104440
20/2/2024,108205
22/2/2024,147700
27/2/2024,107200
21/3/2024,137699
28/3/2024,113100
3/4/2024,126900
10/4/2024,141030
16/4/2024,193010
27/4/2024,131720
29/4/2024,160380
24/5/2024,103770
1/6/2024,113260
7/6/2024,124310
20/6/2024,139250
24/6/2024,100250
5/7/2024,118530
6/7/2024,175160
13/7/2024,139040
23/7/2024,101380
10/8/2024,113560
17/8/2024,108052
